AGENTS,ACTIONS,VALUES,ARGUMENTS,Social AVERAGE LENGTH,Social SUCCESS,Social COVINCE,Social RANK
2,6,4,46,11.150621,0.644,0.57788163,0.97481686
2,6,4,48,11.198768,0.649,0.5648148,0.97791517
2,8,4,2,3.0870826,0.689,0.94920176,0.32857144
2,8,4,4,3.196311,0.759,0.88801056,0.4970588
2,8,4,6,3.5522788,0.746,0.85656834,0.6483645
2,8,4,8,4.1031075,0.708,0.8206215,0.6909449
2,8,4,10,4.1389647,0.734,0.8405995,0.76602566
2,8,4,12,4.5385695,0.713,0.8078541,0.82846713
2,8,4,14,4.7662516,0.723,0.7648686,0.8639706
2,8,4,16,5.089636,0.714,0.7745098,0.871118
2,8,4,18,5.5672936,0.691,0.70188135,0.88046116
2,8,4,20,5.8469243,0.699,0.7224607,0.9246134
2,8,4,22,6.011412,0.701,0.71652424,0.915404
2,8,4,24,6.3444285,0.691,0.69319826,0.9304245
2,8,4,26,6.765714,0.7,0.66191155,0.93538135
2,8,4,28,6.419944,0.712,0.68117976,0.95594716
2,8,4,30,6.4604716,0.721,0.65833336,0.9529352
2,8,4,32,6.8044076,0.726,0.6528926,0.9593254
2,8,4,34,6.7152495,0.741,0.65317136,0.952821
2,8,4,36,6.7829037,0.737,0.67755103,0.9628661
2,8,4,38,7.3265305,0.735,0.66302866,0.96636546
2,8,4,40,7.566482,0.722,0.63106793,0.97237825
2,8,4,42,6.8158236,0.771,0.6368353,0.96875
2,8,4,44,7.062087,0.757,0.63672394,0.98
2,8,4,46,8.095759,0.731,0.6232877,0.9782609
2,8,4,48,7.6380696,0.746,0.6072386,0.98122865
2,8,4,50,7.8018374,0.762,0.5808147,0.97617185
2,8,4,52,8.866936,0.744,0.6037483,0.9859215
2,8,4,54,8.201052,0.761,0.59605265,0.9805195
2,8,4,56,9.099863,0.731,0.60928965,0.9885965
2,8,4,58,9.110963,0.748,0.6013333,0.9873737
2,8,4,60,8.863158,0.76,0.5776316,0.9848131
2,8,4,62,9.4430895,0.738,0.53856564,0.9867647
2,8,4,64,9.328477,0.755,0.5277778,0.9894663
2,10,4,2,3.0665681,0.676,0.9571006,0.34051725
2,10,4,4,3.0756621,0.793,0.9293821,0.52678573
2,10,4,6,3.3149607,0.762,0.86220473,0.5952381
2,10,4,8,3.8433242,0.734,0.8705722,0.70394737
2,10,4,10,4.2585716,0.7,0.82285714,0.7671371
2,10,4,12,4.7740526,0.686,0.78134114,0.81083333
2,10,4,14,4.7114844,0.714,0.8095238,0.85110295
2,10,4,16,5.4095664,0.669,0.7608371,0.871875
2,10,4,18,5.4301996,0.702,0.7763533,0.8925159
2,10,4,20,5.5,0.704,0.77304965,0.8954403
2,10,4,22,5.938659,0.701,0.76714283,0.9237805
2,10,4,24,5.875,0.728,0.7156593,0.9347826
2,10,4,26,5.9198313,0.711,0.72714484,0.94716495
2,10,4,28,6.1164384,0.73,0.72465754,0.9477612
2,10,4,30,6.331484,0.721,0.6809986,0.9429348
2,10,4,32,6.874302,0.716,0.66713285,0.96182007
2,10,4,34,6.8973646,0.721,0.68333334,0.9617904
2,10,4,36,6.714286,0.749,0.68315506,0.96060926
2,10,4,38,7.3819165,0.741,0.6544715,0.9631783
2,10,4,40,6.636598,0.776,0.6920103,0.9686192
2,10,4,42,7.2467017,0.758,0.65831137,0.9715251
2,10,4,44,6.56599,0.788,0.6497462,0.9755435
2,10,4,46,6.68593,0.796,0.6218593,0.9817276
2,10,4,48,7.148718,0.78,0.6371795,0.9743816
2,10,4,50,7.030341,0.791,0.62025315,0.98214287
2,10,4,52,7.584082,0.779,0.6328626,0.97858393
2,10,4,54,7.6615386,0.78,0.6071887,0.98615634
2,10,4,56,7.48799,0.791,0.6017699,0.984127
2,10,4,58,6.9525547,0.822,0.6087485,0.98403424
2,10,4,60,7.4424777,0.791,0.57974684,0.9887387
2,10,4,62,8.580438,0.777,0.63320464,0.9885965
2,10,4,64,7.6065373,0.826,0.59322035,0.99032736
2,10,4,66,7.8428926,0.802,0.6047382,0.9893533
2,10,4,68,7.692118,0.812,0.54444444,0.98787063
2,10,4,70,7.5465684,0.816,0.5865031,0.9877958
2,10,4,72,8.381546,0.802
