VALUES,ACTIONS,ARGUMENTS,AVERAGE LENGTH,DIALOGUE SUCCESS,CONSENSUS SUCCESS,DIALOGUE SCORE,CONSENSUS SCORE
2,2,2,5.3333335,0.6,0.2,3.0,3.0
2,2,4,15.0,0.2,0.2,3.0,3.0
2,2,6,3.5,0.8,0.2,2.5,3.0
2,2,8,4.5,0.8,0.4,2.5,3.0
2,4,2,2.6666667,0.6,0.0,1.0,NaN
2,4,4,2.4,1.0,0.2,2.2,3.0
2,4,6,8.5,0.4,0.0,2.0,NaN
2,4,8,4.25,0.8,0.0,1.5,NaN
2,4,10,8.5,0.4,0.2,2.0,3.0
2,4,12,4.3333335,0.6,0.6,3.0,3.0
2,4,14,14.5,0.4,0.2,1.0,3.0
2,4,16,3.75,0.8,0.4,2.0,3.0
2,6,2,5.5,0.4,0.2,3.0,3.0
2,6,4,4.25,0.8,0.0,2.5,NaN
2,6,6,3.25,0.8,0.2,1.0,3.0
2,6,8,2.2,1.0,0.4,2.2,3.0
2,6,10,3.5,0.8,0.4,2.5,3.0
2,6,12,5.3333335,0.6,0.4,1.6666666,3.0
2,6,14,5.6666665,0.6,0.2,1.0,3.0
2,6,16,8.666667,0.6,0.0,2.3333333,NaN
2,6,18,5.6666665,0.6,0.4,2.3333333,3.0
2,6,20,19.5,0.4,0.2,2.0,3.0
2,6,22,2.2,1.0,0.4,2.2,3.0
2,6,24,2.4,1.0,1.0,3.0,3.0
2,8,2,2.6,1.0,0.0,2.2,NaN
2,8,4,2.25,0.8,0.4,2.0,3.0
2,8,6,3.0,1.0,0.4,1.8,3.0
2,8,8,5.3333335,0.6,0.2,2.3333333,3.0
2,8,10,3.6,1.0,0.2,2.2,3.0
2,8,12,4.0,0.6,0.2,1.0,3.0
2,8,14,2.75,0.8,0.2,1.5,3.0
2,8,16,5.0,0.8,0.4,3.0,3.0
2,8,18,3.4,1.0,0.6,2.2,3.0
2,8,20,5.25,0.8,0.4,2.0,3.0
2,8,22,3.0,1.0,0.6,2.6,3.0
2,8,24,8.666667,0.6,0.2,2.3333333,3.0
2,8,26,2.2,1.0,0.8,2.6,3.0
2,8,28,4.6,1.0,0.6,1.8,3.0
2,8,30,2.2,1.0,0.4,2.2,3.0
2,8,32,18.0,0.6,0.2,3.0,3.0
4,2,2,3.5,0.4,0.2,2.0,3.0
4,2,4,4.0,0.6,0.0,2.3333333,NaN
4,2,6,6.5,0.4,0.4,3.0,3.0
4,2,8,10.0,0.2,0.0,1.0,NaN
4,2,10,6.5,0.4,0.4,3.0,3.0
4,2,12,18.0,0.2,0.0,3.0,NaN
4,2,14,29.0,0.2,0.2,1.0,3.0
4,2,16,14.0,0.4,0.4,3.0,3.0
4,4,2,3.3333333,0.6,0.2,3.0,3.0
4,4,4,2.2,1.0,0.2,1.8,3.0
4,4,6,5.0,0.6,0.0,1.6666666,NaN
4,4,8,6.0,0.6,0.2,2.3333333,3.0
4,4,10,3.0,0.6,0.2,2.3333333,3.0
4,4,12,10.0,0.4,0.2,2.0,3.0
4,4,14,6.0,0.6,0.0,1.6666666,NaN
4,4,16,4.6666665,0.6,0.0,1.0,NaN
4,4,18,4.3333335,0.6,0.4,2.3333333,3.0
4,4,20,18.0,0.4,0.2,2.0,3.0
4,4,22,2.2,1.0,0.4,2.2,3.0
4,4,24,10.333333,0.6,0.2,1.6666666,3.0
4,4,26,8.333333,0.6,0.4,2.3333333,3.0
4,4,28,12.0,0.4,0.4,3.0,3.0
4,4,30,2.6,1.0,0.4,2.2,3.0
4,4,32,13.666667,0.6,0.2,2.3333333,3.0
4,6,2,2.75,0.8,0.2,2.5,3.0
4,6,4,4.6666665,0.6,0.0,1.6666666,NaN
4,6,6,2.6,1.0,0.2,2.6,3.0
4,6,8,4.75,0.8,0.0,2.0,NaN
4,6,10,5.6666665,0.6,0.0,3.0,NaN
4,6,12,4.0,1.0,0.2,2.2,3.0
4,6,14,5.3333335,0.6,0.2,1.6666666,3.0
4,6,16,7.3333335,0.6,0.2,1.6666666,3.0
4,6,18,4.5,0.8,0.4,2.5,3.0
4,6,20,10.333333,0.6,0.0,3.0,NaN
4,6,22,3.0,0.8,0.2,1.5,3.0
4,6,24,13.5,0.4,0.2,2.0,3.0
4,6,26,7.6666665,0.6,0.2,2.3333333,3.0
4,6,28,4.6666665,0.6,0.4,2.3333333,3.0
4,6,30,6.0,0.8,0.6,2.5,3.0
4,6,32,4.6,1.0,0.0,1.8,NaN
4,6,34,5.0,0.8,0.4,2.0,3.0
4,6,36,7.25,0.8,0.4,2.5,3.0
4,6,38,11.0,0.6,0.2,2.3333333,3.0
4,6,40,18.333334,0.6,0.6,2.3333333,3.0
4,6,42,15.333333,0.6,0.2,2.3333333,3.0
4,6,44,6.6666665,0.6,0.4,2.3333333,3.0
4,6,46,27.5,0.4,0.2,1.0,3.0
4,6,48,7.0,0.8,0.2,1.0,3.0
4,8,2,5.0,0.6,0.2,3.0,3.0
4,8,4,2.6,1.0,0.0,2.2,NaN
4,8,6,3.25,0.8,0.0,1.5,NaN
4,8,8,3.5,0.8,0.2,1.5,3.0
4,8,10,2.2,1.0,0.6,2.2,3.0
4,8,12,5.6666665,0.6,0.2,2.3333333,3.0
4,8,14,4.5,0.8,0.2,2.0,3.0
4,8,16,6.6666665,0.6,0.2,2.3333333,3.0
4,8,18,3.0,0.8,0.0,1.0,NaN
4,8,20,2.8,1.0,0.2,1.4,3.0
4,8,22,3.5,0.8,0.0,1.5,NaN
4,8,24,5.5,0.8,0.0,1.0,NaN
4,8,26,4.75,0.8,0.6,2.5,3.0
4,8,28,4.0,0.8,0.8,3.0,3.0
4,8,30,8.5,0.8,0.6,2.0,3.0
4,8,32,5.5,0.8,0.0,2.0,NaN
4,8,34,2.2,1.0,0.6,2.2,3.0
4,8,36,5.5,0.8,0.4,2.5,3.0
4,8,38,14.333333,0.6,0.4,2.3333333,3.0
4,8,40,6.6666665,0.6,0.2,2.3333333,3.0
4,8,42,9.25,0.8,0.4,2.0,3.0
4,8,44,4.0,1.0,0.4,2.6,3.0
4,8,46,9.5,0.8,0.2,1.5,3.0
4,8,48,4.5,0.8,0.6,2.5,3.0
4,8,50,10.0,0.8,0.4,2.5,3.0
4,8,52,15.0,0.6,0.2,2.3333333,3.0
4,8,54,13.333333,0.6,0.0,1.6666666,NaN
4,8,56,15.666667,0.6,0.6,3.0,3.0
4,8,58,19.666666,0.6,0.2,1.6666666,3.0
4,8,60,11.75,0.8,0.4,2.5,3.0
4,8,62,8.5,0.8,0.0,2.5,NaN
4,8,64,13.0,0.6,0.6,3.0,3.0
6,2,2,2.25,0.8,0.4,2.0,3.0
6,2,4,3.0,0.8,0.4,2.0,3.0
6,2,6,3.5,0.4,0.2,2.0,3.0
6,2,8,4.25,0.8,0.4,2.5,3.0
6,2,10,10.0,0.4,0.0,2.0,NaN
6,2,12,16.0,0.4,0.0,2.0,NaN
6,2,14,14.5,0.4,0.2,3.0,3.0
6,2,16,13.5,0.4,0.0,2.0,NaN
6,2,18,8.333333,0.6,0.6,3.0,3.0
6,2,20,7.25,0.8,0.4,2.5,3.0
6,2,22,35.0,0.2,0.0,1.0,NaN
6,2,24,48.0,0.2,0.2,3.0,3.0
6,4,2,4.0,0.6,0.0,1.6666666,NaN
6,4,4,4.6666665,0.6,0.2,3.0,3.0
6,4,6,3.6666667,0.6,0.0,1.6666666,NaN
6,4,8,4.6666665,0.6,0.0,2.3333333,NaN
6,4,10,2.6,1.0,0.4,1.8,3.0
6,4,12,3.75,0.8,0.2,2.0,3.0
6,4,14,11.0,0.4,0.2,3.0,3.0
6,4,16,2.2,1.0,0.2,1.8,3.0
6,4,18,8.0,0.6,0.2,1.6666666,3.0
6,4,20,16.5,0.4,0.4,2.0,3.0
6,4,22,4.25,0.8,0.2,2.0,3.0
6,4,24,9.333333,0.6,0.4,1.6666666,3.0
6,4,26,4.25,0.8,0.2,2.5,3.0
6,4,28,7.6666665,0.6,0.2,2.3333333,3.0
6,4,30,19.5,0.4,0.2,1.0,3.0
6,4,32,22.0,0.4,0.2,3.0,3.0
6,4,34,Infinity,0.0,0.0,NaN,NaN
6,4,36,6.75,0.8,0.2,1.5,3.0
6,4,38,16.0,0.4,0.2,2.0,3.0
6,4,40,19.333334,0.6,0.2,2.3333333,3.0
6,4,42,15.0,0.6,0.4,2.3333333,3.0
6,4,44,4.2,1.0,0.0,1.8,NaN
6,4,46,26.5,0.4,0.2,2.0,3.0
6,4,48,25.0,0.4,0.0,1.0,NaN
6,6,2,3.25,0.8,0.2,2.5,3.0
6,6,4,4.5,0.4,0.0,1.0,NaN
6,6,6,4.3333335,0.6,0.2,2.3333333,3.0
6,6,8,2.8,1.0,0.2,2.2,3.0
6,6,10,4.25,0.8,0.0,2.0,NaN
6,6,12,2.2,1.0,0.0,1.4,NaN
6,6,14,5.0,0.8,0.0,1.0,NaN
6,6,16,11.0,0.4,0.2,2.0,3.0
6,6,18,8.333333,0.6,0.2,2.3333333,3.0
6,6,20,6.6666665,0.6,0.4,2.3333333,3.0
