VALUES,ACTIONS,ARGUMENTS,DIALOGUE SUCCESS,CONSENSUS SUCCESS,DS0,DS1,DS2,DS3,DSCORE,CS0,CS1,CS2,CS3,CSCORE
6,8,6,124.0,0.752,0.128,0.026,0.23,0.496,0.752,436.0,0.004,0.03,0.094,0.128
6,8,8,120.0,0.76,0.142,0.03,0.29,0.44,0.76,429.0,0.0,0.036,0.106,0.142
6,8,10,145.0,0.71,0.108,0.022,0.284,0.404,0.71,446.0,0.0,0.044,0.064,0.108
6,8,12,162.0,0.676,0.168,0.05,0.254,0.372,0.676,416.0,0.008,0.064,0.096,0.168
6,8,14,159.0,0.682,0.172,0.034,0.278,0.37,0.682,414.0,0.006,0.066,0.1,0.172
6,8,16,178.0,0.644,0.146,0.032,0.232,0.38,0.644,427.0,0.008,0.038,0.1,0.146
6,8,18,172.0,0.656,0.182,0.036,0.272,0.348,0.656,409.0,0.006,0.066,0.11,0.182
6,8,20,171.0,0.658,0.198,0.038,0.26,0.36,0.658,401.0,0.02,0.068,0.11,0.198
6,8,22,165.0,0.67,0.202,0.032,0.256,0.382,0.67,399.0,0.006,0.078,0.118,0.202
6,8,24,184.0,0.632,0.206,0.016,0.26,0.356,0.632,397.0,0.004,0.078,0.124,0.206
6,8,26,179.0,0.642,0.18,0.022,0.248,0.372,0.642,410.0,0.004,0.078,0.098,0.18
6,8,28,169.0,0.662,0.242,0.034,0.258,0.37,0.662,379.0,0.016,0.098,0.128,0.242
6,8,30,160.0,0.68,0.272,0.058,0.232,0.39,0.68,364.0,0.022,0.104,0.146,0.272
6,8,32,158.0,0.684,0.228,0.022,0.244,0.418,0.684,386.0,0.006,0.084,0.138,0.228
6,8,34,181.0,0.638,0.226,0.026,0.256,0.356,0.638,387.0,0.008,0.086,0.132,0.226
6,8,36,176.0,0.648,0.242,0.03,0.232,0.386,0.648,379.0,0.012,0.088,0.142,0.242
6,8,38,171.0,0.658,0.248,0.022,0.232,0.404,0.658,376.0,0.018,0.078,0.152,0.248
6,8,40,164.0,0.672,0.276,0.044,0.222,0.406,0.672,362.0,0.018,0.1,0.158,0.276
6,8,42,172.0,0.656,0.242,0.034,0.232,0.39,0.656,379.0,0.012,0.092,0.138,0.242
6,8,44,144.0,0.712,0.298,0.044,0.262,0.406,0.712,351.0,0.016,0.118,0.164,0.298
6,8,46,154.0,0.692,0.268,0.038,0.254,0.4,0.692,366.0,0.014,0.112,0.142,0.268
6,8,48,162.0,0.676,0.282,0.032,0.24,0.404,0.676,359.0,0.018,0.108,0.156,0.282
6,8,50,175.0,0.65,0.276,0.022,0.244,0.384,0.65,362.0,0.012,0.1,0.164,0.276
6,8,52,165.0,0.67,0.298,0.028,0.242,0.4,0.67,351.0,0.016,0.104,0.178,0.298
6,8,54,127.0,0.746,0.302,0.048,0.288,0.41,0.746,349.0,0.02,0.124,0.158,0.302
6,8,56,152.0,0.696,0.32,0.064,0.244,0.388,0.696,340.0,0.032,0.122,0.166,0.32
6,8,58,141.0,0.718,0.342,0.05,0.272,0.396,0.718,329.0,0.036,0.132,0.174,0.342
6,8,60,126.0,0.748,0.354,0.038,0.264,0.446,0.748,323.0,0.028,0.126,0.2,0.354
6,8,62,145.0,0.71,0.36,0.04,0.238,0.432,0.71,320.0,0.04,0.13,0.19,0.36
6,8,64,148.0,0.704,0.322,0.058,0.288,0.358,0.704,339.0,0.034,0.14,0.148,0.322
6,8,66,138.0,0.724,0.358,0.052,0.276,0.396,0.724,321.0,0.03,0.126,0.202,0.358
6,8,68,142.0,0.716,0.348,0.05,0.304,0.362,0.716,326.0,0.04,0.144,0.164,0.348
6,8,70,138.0,0.724,0.328,0.05,0.306,0.368,0.724,336.0,0.034,0.132,0.162,0.328
6,8,72,126.0,0.748,0.376,0.054,0.296,0.398,0.748,312.0,0.036,0.162,0.178,0.376
6,8,74,129.0,0.742,0.384,0.08,0.272,0.39,0.742,308.0,0.06,0.14,0.184,0.384
6,8,76,122.0,0.756,0.392,0.076,0.272,0.408,0.756,304.0,0.058,0.132,0.202,0.392
6,8,78,154.0,0.692,0.338,0.072,0.264,0.356,0.692,331.0,0.034,0.154,0.15,0.338
6,8,80,127.0,0.746,0.382,0.062,0.306,0.378,0.746,309.0,0.054,0.148,0.18,0.382
6,8,82,132.0,0.736,0.424,0.086,0.294,0.356,0.736,288.0,0.07,0.178,0.176,0.424
6,8,84,118.0,0.764,0.422,0.068,0.318,0.378,0.764,289.0,0.048,0.188,0.186,0.422
6,8,86,132.0,0.736,0.408,0.072,0.306,0.358,0.736,296.0,0.06,0.168,0.18,0.408
6,8,88,162.0,0.676,0.35,0.068,0.266,0.342,0.676,325.0,0.056,0.142,0.152,0.35
6,8,90,144.0,0.712,0.382,0.094,0.284,0.334,0.712,309.0,0.068,0.162,0.152,0.382
6,8,92,135.0,0.73,0.4,0.078,0.298,0.354,0.73,300.0,0.054,0.178,0.168,0.4
6,8,94,146.0,0.708,0.378,0.098,0.248,0.362,0.708,311.0,0.068,0.154,0.156,0.378
6,8,96,118.0,0.764,0.408,0.092,0.308,0.364,0.764,296.0,0.07,0.196,0.142,0.408
6,10,2,189.0,0.622,0.022,0.0,0.038,0.584,0.622,489.0,0.0,0.0,0.022,0.022
6,10,4,117.0,0.766,0.06,0.006,0.18,0.58,0.766,470.0,0.0,0.01,0.05,0.06
6,10,6,132.0,0.736,0.094,0.016,0.228,0.492,0.736,453.0,0.0,0.026,0.068,0.094
6,10,8,147.0,0.706,0.084,0.016,0.262,0.428,0.706,458.0,0.0,0.028,0.056,0.084
6,10,10,138.0,0.724,0.11,0.034,0.33,0.36,0.724,445.0,0.002,0.038,0.07,0.11
6,10,12,183.0,0.634,0.13,0.04,0.252,0.342,0.634,435.0,0.008,0.038,0.084,0.13
6,10,14,186.0,0.628,0.15,0.016,0.272,0.34,0.628,425.0,0.0,0.06,0.09,0.15
6,10,16,178.0,0.644,0.138,0.04,0.262,0.342,0.644,431.0,0.004,0.058,0.076,0.138
6,10,18,196.0,0.608,0.152,0.018,0.272,0.318,0.608,424.0,0.002,0.058,0.092,0.152
6,10,20,178.0,0.644,0.178,0.032,0.234,0.378,0.644,411.0,0.012,0.062,0.104,0.178
6,10,22,188.0,0.624,0.18,0.032,0.27,0.322,0.624,410.0,0.012,0.058,0.11,0.18
6,10,24,184.0,0.632,0.17,0.022,0.226,0.384,0.632,415.0,0.006,0.066,0.098,0.17
6,10,26,201.0,0.598,0.19,0.034,0.212,0.352,0.598,405.0,0.016,0.06,0.114,0.19
6,10,28,177.0,0.646,0.172,0.024,0.212,0.41,0.646,414.0,0.006,0.054,0.112,0.172
6,10,30,181.0,0.638,0.208,0.018,0.22,0.4,0.638,396.0,0.01,0.078,0.12,0.208
6,10,32,186.0,0.628,0.198,0.022,0.236,0.37,0.628,401.0,0.004,0.07,0.124,0.198
6,10,34,186.0,0.628,0.236,0.016,0.218,0.394,0.628,382.0,0.01,0.076,0.15,0.236
6,10,36,183.0,0.634,0.198,0.028,0.24,0.366,0.634,401.0,0.004,0.086,0.108,0.198
6,10,38,189.0,0.622,0.224,0.02,0.226,0.376,0.622,388.0,0.016,0.074,0.134,0.224
6,10,40,176.0,0.648,0.234,0.022,0.23,0.396,0.648,383.0,0.012,0.088,0.134,0.234
6,10,42,179.0,0.642,0.232,0.018,0.238,0.386,0.642,384.0,0.008,0.074,0.15,0.232
6,10,44,174.0,0.652,0.256,0.028,0.23,0.394,0.652,372.0,0.006,0.092,0.158,0.256
6,10,46,160.0,0.68,0.28,0.024,0.214,0.442,0.68,360.0,0.016,0.094,0.17,0.28
6,10,48,144.0,0.712,0.308,0.038,0.232,0.442,0.712,346.0,0.03,0.098,0.18,0.308
6,10,50,153.0,0.694,0.298,0.018,0.222,0.454,0.694,351.0,0.01,0.104,0.184,0.298
6,10,52,150.0,0.7,0.306,0.034,0.25,0.416,0.7,347.0,0.022,0.114,0.17,0.306
6,10,54,143.0,0.714,0.302,0.03,0.23,0.454,0.714,349.0,0.014,0.108,0.18,0.302
6,10,56,140.0,0.72,0.32,0.026,0.222,0.472,0.72,340.0,0.018,0.108,0.194,0.32
6,10,58,151.0,0.698,0.314,0.036,0.206,0.456,0.698,343.0,0.028,0.092,0.194,0.314
6,10,60,144.0,0.712,0.326,0.038,0.248,0.426,0.712,337.0,0.02,0.118,0.188,0.326
6,10,62,139.0,0.722,0.33,0.04,0.24,0.442,0.722,335.0,0.024,0.11,0.196,0.33
6,10,64,127.0,0.746,0.346,0.032,0.254,0.46,0.746,327.0,0.026,0.112,0.208,0.346
6,10,66,147.0,0.706,0.302,0.028,0.252,0.426,0.706,349.0,0.012,0.116,0.174,0.302
6,10,68,122.0,0.756,0.396,0.05,0.28,0.426,0.756,302.0,0.03,0.16,0.206,0.396
6,10,70,121.0,0.758,0.39,0.042,0.274,0.442,0.758,305.0,0.038,0.15,0.202,0.39
6,10,72,118.0,0.764,0.382,0.046,0.254,0.464,0.764,309.0,0.03,0.14,0.212,0.382
6,10,74,135.0,0.73,0.39,0.034,0.24,0.456,0.73,305.0,0.022,0.142,0.226,0.39
6,10,76,113.0,0.774,0.398,0.054,0.28,0.44,0.774,301.0,0.04,0.138,0.22,0.398
6,10,78,127.0,0.746,0.356,0.032,0.252,0.462,0.746,322.0,0.028,0.138,0.19,0.356
6,10,80,109.0,0.782,0.41,0.064,0.282,0.436,0.782,295.0,0.04,0.16,0.21,0.41
6,10,82,128.0,0.744,0.398,0.062,0.264,0.418,0.744,301.0,0.05,0.134,0.214,0.398
6,10,84,124.0,0.752,0.386,0.054,0.296,0.402,0.752,307.0,0.032,0.15,0.204,0.386
6,10,86,127.0,0.746,0.398,0.048,0.274,0.424,0.746,301.0,0.04,0.138,0.22,0.398
6,10,88,113.0,0.774,0.416,0.066,0.258,0.45,0.774,292.0,0.032,0.172,0.212,0.416
6,10,90,108.0,0.784,0.444,0.06,0.324,0.4,0.784,278.0,0.038,0.194,0.212,0.444
6,10,92,119.0,0.762,0.394,0.056,0.256,0.45,0.762,303.0,0.036,0.162,0.196,0.394
6,10,94,131.0,0.738,0.41,0.072,0.29,0.376,0.738,295.0,0.048,0.162,0.2,0.41
6,10,96,101.0,0.798,0.41,0.064,0.31,0.424,0.798,295.0,0.05,0.178,0.182,0.41
6,10,98,108.0,0.784,0.44,0.068,0.324,0.392,0.784,280.0,0.046,0.202,0.192,0.44
6,10,100,117.0,0.766,0.458,0.052,0.338,0.376,0.766,271.0,0.048,0.204,0.206,0.458
6,10,102,108.0,0.784,0.408,0.066,0.314,0.404,0.784,296.0,0.044,0.17,0.194,0.408
6,10,104,108.0,0.784,0.462,0.06,0.332,0.392,0.784,269.0,0.04,0.234,0.188,0.462
6,10,106,113.0,0.774,0.462,0.074,0.324,0.376,0.774,269.0,0.072,0.202,0.188,0.462
6,10,108,101.0,0.798,0.438,0.09,0.316,0.392,0.798,281.0,0.072,0.174,0.192,0.438
6,10,110,103.0,0.794,0.454,0.08,0.32,0.394,0.794,273.0,0.07,0.192,0.192,0.454
6,10,112,101.0,0.798,0.448,0.08,0.33,0.388,0.798,276.0,0.068,0.21,0.17,0.448
6,10,114,105.0,0.79,0.452,0.122,0.328,0.34,0.79,274.0,0.086,0.204,0.162,0.452
6,10,116,104.0,0.792,0.49,0.078,0.296,0.418,0.792,255.0,0.076,0.192,0.222,0.49
6,10,118,111.0,0.778,0.48,0.112,0.29,0.376,0.778,260.0,0.086,0.196,0.198,0.48
6,10,120,98.0,0.804,0.466,0.076,0.292,0.436,0.804,267.0,0.066,0.184,0.216,0.466
8,2,2,197.0,0.606,0.128,0.0,0.072,0.534,0.606,436.0,0.0,0.0,0.128,0.128
8,2,4,189.0,0.622,0.238,0.016,0.192,0.414,0.622,381.0,0.004,0.058,0.176,0.238
8,2,6,221.0,0.558,0.226,0.03,0.2,0.328,0.558,387.0,0.014,0.062,0.15,0.226
8,2,8,223.0,0.554,0.214,0.04,0.2,0.314,0.554,393.0,0.008,0.08,0.126,0.214
8,2,10,224.0,0.552,0.23,0.042,0.194,0.316,0.552,385.0,0.016,0.062,0.152,0.23
8,2,12,273.0,0.454,0.2,0.026,0.142,0.286,0.454,400.0,0.018,0.052,0.13,0.2
8,2,14,259.0,0.482,0.236,0.036,0.202,0.244,0.482,382.0,0.026,0.092,0.118,0.236
8,2,16,254.0,0.492,0.236,0.034,0.204,0.254,0.492,382.0,0.016,0.096,0.124,0.236
8,2,18,276.0,0.448,0.238,0.028,0.174,0.246,0.448,381.0,0.01,0.09,0.138,0.238
8,2,20,280.0,0.44,0.242,0.05,0.188,0.202,0.44,379.0,0.042,0.1,0.1,0.242
8,2,22,295.0,0.41,0.222,0.054,0.164,0.192,0.41,389.0,0.024,0.082,0.116,0.222
8,2,24,300.0,0.4,0.22,0.044,0.158,0.198,0.4,390.0,0.032,0.098,0.09,0.22
8,2,26,296.0,0.408,0.212,0.054,0.162,0.192,0.408,394.0,0.026,0.088,0.098,0.212
8,2,28,308.0,0.384,0.204,0.054,0.166,0.164,0.384,398.0,0.036,0.094,0.074,0.204
8,2,30,332.0,0.336,0.172,0.038,0.148,0.15,0.336,414.0,0.028,0.078,0.066,0.172
8,2,32,318.0,0.364,0.196,0.056,0.142,0.166,0.364,402.0,0.034,0.068,0.094,0.196
8,4,2,173.0,0.654,0.042,0.0,0.068,0.586,0.654,479.0,0.0,0.0,0.042,0.042
8,4,4,143.0,0.714,0.116,0.008,0.204,0.502,0.714,442.0,0.0,0.018,0.098,0.116
8,4,6,171.0,0.658,0.162,0.024,0.208,0.426,0.658,419.0,0.004,0.034,0.124,0.162
8,4,8,155.0,0.69,0.184,0.03,0.256,0.404,0.69,408.0,0.002,0.058,0.124,0.184
8,4,10,189.0,0.622,0.184,0.026,0.23,0.366,0.622,408.0,0.008,0.062,0.114,0.184
8,4,12,180.0,0.64,0.222,0.032,0.244,0.364,0.64,389.0,0.006,0.074,0.142,0.222
8,4,14,174.0,0.652,0.242,0.066,0.28,0.306,0.652,379.0,0.02,0.088,0.134,0.242
8,4,16,184.0,0.632,0.222,0.06,0.238,0.334,0.632,389.0,0.024,0.054,0.144,0.222
8,4,18,190.0,0.62,0.228,0.056,0.246,0.318,0.62,386.0,0.014,0.094,0.12,0.228
8,4,20,196.0,0.608,0.204,0.038,0.24,0.33,0.608,398.0,0.01,0.078,0.116,0.204
8,4,22,196.0,0.608,0.228,0.042,0.234,0.332,0.608,386.0,0.006,0.09,0.132,0.228
8,4,24,172.0,0.656,0.28,0.05,0.274,0.332,0.656,360.0,0.026,0.09,0.164,0.28
8,4,26,203.0,0.594,0.246,0.046,0.264,0.284,0.594,377.0,0.028,0.106,0.112,0.246
8,4,28,203.0,0.594,0.26,0.052,0.242,0.3,0.594,370.0,0.03,0.098,0.132,0.26
8,4,30,186.0,0.628,0.26,0.05,0.252,0.326,0.628,370.0,0.024,0.102,0.134,0.26
8,4,32,205.0,0.59,0.264,0.036,0.238,0.316,0.59,368.0,0.014,0.104,0.146,0.264
8,4,34,220.0,0.56,0.234,0.036,0.252,0.272,0.56,383.0,0.022,0.104,0.108,0.234
8,4,36,220.0,0.56,0.214,0.042,0.228,0.29,0.56,393.0,0.012,0.09,0.112,0.214
8,4,38,211.0,0.578,0.27,0.05,0.248,0.28,0.578,365.0,0.018,0.13,0.122,0.27
8,4,40,204.0,0.592,0.276,0.068,0.222,0.302,0.592,362.0,0.044,0.088,0.144,0.276
8,4,42,196.0,0.608,0.282,0.066,0.258,0.284,0.608,359.0,0.03,0.13,0.122,0.282
8,4,44,217.0,0.566,0.268,0.05,0.228,0.288,0.566,366.0,0.032,0.106,0.13,0.268
8,4,46,225.0,0.55,0.274,0.064,0.244,0.242,0.55,363.0,0.036,0.116,0.122,0.274
8,4,48,233.0,0.534,0.274,0.058,0.224,0.252,0.534,363.0,0.042,0.108,0.124,0.274
8,4,50,212.0,0.576,0.286,0.066,0.242,0.268,0.576,357.0,0.04,0.118,0.128,0.286
8,4,52,228.0,0.544,0.288,0.07,0.216,0.258,0.544,356.0,0.046,0.126,0.116,0.288
8,4,54,237.0,0.526,0.252,0.064,0.24,0.222,0.526,374.0,0.032,0.124,0.096,0.252
8,4,56,222.0,0.556,0.274,0.066,0.228,0.262,0.556,363.0,0.032,0.128,0.114,0.274
8,4,58,251.0,0.498,0.248,0.062,0.202,0.234,0.498,376.0,0.036,0.106,0.106,0.248
8,4,60,243.0,0.514,0.264,0.048,0.198,0.268,0.514,368.0,0.026,0.102,0.136,0.264
8,4,62,245.0,0.51,0.296,0.06,0.198,0.252,0.51,352.0,0.036,0.126,0.134,0.296
8,4,64,230.0,0.54,0.288,0.078,0.228,0.234,0.54,356.0,0.038,0.126,0.124,0.288
8,6,2,185.0,0.63,0.048,0.0,0.058,0.572,0.63,476.0,0.0,0.0,0.048,0.048
8,6,4,152.0,0.696,0.064,0.012,0.16,0.524,0.696,468.0,0.0,0.006,0.058,0.064
8,6,6,143.0,0.714,0.114,0.03,0.246,0.438,0.714,443.0,0.002,0.024,0.088,0.114
8,6,8,151.0,0.698,0.116,0.026,0.25,0.422,0.698,442.0,0.002,0.032,0.082,0.116
8,6,10,163.0,0.674,0.182,0.028,0.262,0.384,0.674,409.0,0.0,0.052,0.13,0.182
8,6,12,183.0,0.634,0.146,0.034,0.28,0.32,0.634,427.0,0.002,0.058,0.086,0.146
8,6,14,179.0,0.642,0.206,0.024,0.268,0.35,0.642,397.0,0.008,0.086,0.112,0.206
8,6,16,187.0,0.626,0.18,0.048,0.238,0.34,0.626,410.0,0.012,0.07,0.098,0.18
8,6,18,187.0,0.626,0.182,0.042,0.256,0.328,0.626,409.0,0.004,0.064,0.114,0.182
8,6,20,191.0,0.618,0.222,0.042,0.258,0.318,0.618,389.0,0.01,0.09,0.122,0.222
8,6,22,167.0,0.666,0.252,0.054,0.26,0.352,0.666,374.0,0.018,0.102,0.132,0.252
8,6,24,186.0,0.628,0.2,0.026,0.244,0.358,0.628,400.0,0.006,0.072,0.122,0.2
8,6,26,184.0,0.632,0.234,0.05,0.286,0.296,0.632,383.0,0.022,0.104,0.108,0.234
8,6,28,187.0,0.626,0.222,0.062,0.224,0.34,0.626,389.0,0.012,0.072,0.138,0.222
8,6,30,189.0,0.622,0.25,0.032,0.24,0.35,0.622,375.0,0.016,0.08,0.154,0.25
8,6,32,179.0,0.642,0.232,0.03,0.222,0.39,0.642,384.0,0.016,0.072,0.144,0.232
8,6,34,185.0,0.63,0.248,0.044,0.238,0.348,0.63,376.0,0.016,0.086,0.146,0.248
8,6,36,184.0,0.632,0.286,0.042,0.264,0.326,0.632,357.0,0.016,0.112,0.158,0.286
8,6,38,182.0,0.636,0.28,0.058,0.244,0.334,0.636,360.0,0.024,0.1,0.156,0.28
8,6,40,174.0,0.652,0.282,0.048,0.248,0.356,0.652,359.0,0.02,0.116,0.146,0.282
8,6,42,174.0,0.652,0.224,0.054,0.236,0.362,0.652,388.0,0.026,0.082,0.116,0.224
8,6,44,181.0,0.638,0.24,0.042,0.258,0.338,0.638,380.0,0.018,0.092,0.13,0.24
8,6,46,160.0,0.68,0.306,0.05,0.282,0.348,0.68,347.0,0.028,0.118,0.16,0.306
8,6,48,177.0,0.646,0.268,0.026,0.244,0.376,0.646,366.0,0.016,0.116,0.136,0.268
8,6,50,181.0,0.638,0.304,0.042,0.244,0.352,0.638,348.0,0.018,0.114,0.172,0.304
8,6,52,193.0,0.614,0.276,0.042,0.222,0.35,0.614,362.0,0.024,0.092,0.16,0.276
8,6,54,168.0,0.664,0.29,0.044,0.248,0.372,0.664,355.0,0.018,0.114,0.158,0.29
8,6,56,168.0,0.664,0.294,0.044,0.264,0.356,0.664,353.0,0.026,0.13,0.138,0.294
8,6,58,173.0,0.654,0.278,0.05,0.3,0.304,0.654,361.0,0.016,0.144,0.118,0.278
8,6,60,167.0,0.666,0.342,0.052,0.296,0.318,0.666,329.0,0.028,0.15,0.164,0.342
8,6,62,183.0,0.634,0.28,0.052,0.244,0.338,0.634,360.0,0.03,0.096,0.154,0.28
8,6,64,172.0,0.656,0.318,0.072,0.268,0.316,0.656,341.0,0.046,0.154,0.118,0.318
8,6,66,168.0,0.664,0.304,0.056,0.272,0.336,0.664,348.0,0.026,0.122,0.156,0.304
8,6,68,168.0,0.664,0.306,0.062,0.24,0.362,0.664,347.0,0.036,0.11,0.16,0.306
8,6,70,181.0,0.638,0.312,0.074,0.244,0.32,0.638,344.0,0.032,0.132,0.148,0.312
8,6,72,167.0,0.666,0.34,0.044,0.292,0.33,0.666,330.0,0.034,0.15,0.156,0.34
8,6,74,176.0,0.648,0.342,0.064,0.258,0.326,0.648,329.0,0.05,0.142,0.15,0.342
8,6,76,168.0,0.664,0.332,0.064,0.254,0.346,0.664,334.0,0.038,0.128,0.166,0.332
8,6,78,168.0,0.664,0.302,0.092,0.272,0.3,0.664,349.0,0.04,0.132,0.13,0.302
8,6,80,169.0,0.662,0.374,0.07,0.276,0.316,0.662,313.0,0.046,0.158,0.17,0.374
8,6,82,193.0,0.614,0.306,0.056,0.284,0.274,0.614,347.0,0.032,0.154,0.12,0.306
8,6,84,189.0,0.622,0.344,0.078,0.292,0.252,0.622,328.0,0.036,0.172,0.136,0.344
8,6,86,167.0,0.666,0.364,0.062,0.298,0.306,0.666,318.0,0.048,0.166,0.15,0.364
8,6,88,173.0,0.654,0.316,0.1,0.274,0.28,0.654,342.0,0.054,0.138,0.124,0.316
8,6,90,177.0,0.646,0.358,0.088,0.298,0.26,0.646,321.0,0.068,0.166,0.124,0.358
8,6,92,211.0,0.578,0.348,0.06,0.27,0.248,0.578,326.0,0.046,0.164,0.138,0.348
8,6,94,172.0,0.656,0.36,0.07,0.282,0.304,0.656,320.0,0.05,0.156,0.154,0.36
8,6,96,189.0,0.622,0.358,0.09,0.244,0.288,0.622,321.0,0.064,0.136,0.158,0.358
8,8,2,154.0,0.692,0.036,0.0,0.06,0.632,0.692,482.0,0.0,0.0,0.036,0.036
8,8,4,122.0,0.756,0.068,0.002,0.202,0.552,0.756,466.0,0.0,0.014,0.054,0.068
8,8,6,128.0,0.744,0.106,0.022,0.28,0.442,0.744,447.0,0.0,0.03,0.076,0.106
8,8,8,160.0,0.68,0.108,0.028,0.272,0.38,0.68,446.0,0.0,0.034,0.074,0.108
8,8,10,160.0,0.68,0.13,0.044,0.21,0.426,0.68,435.0,0.008,0.028,0.094,0.13
8,8,12,197.0,0.606,0.152,0.036,0.22,0.35,0.606,424.0,0.004,0.052,0.096,0.152
8,8,14,193.0,0.614,0.128,0.05,0.264,0.3,0.614,436.0,0.008,0.064,0.056,0.128
8,8,16,152.0,0.696,0.16,0.02,0.314,0.362,0.696,420.0,0.006,0.056,0.098,0.16
8,8,18,191.0,0.618,0.162,0.05,0.224,0.344,0.618,419.0,0.008,0.044,0.11,0.162
8,8,20,198.0,0.604,0.164,0.062,0.27,0.272,0.604,418.0,0.006,0.072,0.086,0.164
8,8,22,191.0,0.618,0.168,0.052,0.26,0.306,0.618,416.0,0.02,0.052,0.096,0.168
8,8,24,210.0,0.58,0.162,0.04,0.214,0.326,0.58,419.0,0.014,0.066,0.082,0.162
8,8,26,188.0,0.624,0.208,0.04,0.24,0.344,0.624,396.0,0.014,0.066,0.128,0.208
8,8,28,199.0,0.602,0.206,0.026,0.25,0.326,0.602,397.0,0.006,0.076,0.124,0.206
8,8,30,193.0,0.614,0.202,0.044,0.25,0.32,0.614,399.0,0.016,0.076,0.11,0.202
8,8,32,203.0,0.594,0.204,0.042,0.24,0.312,0.594,398.0,0.014,0.086,0.104,0.204
8,8,34,191.0,0.618,0.202,0.036,0.234,0.348,0.618,399.0,0.014,0.076,0.112,0.202
8,8,36,197.0,0.606,0.242,0.04,0.212,0.354,0.606,379.0,0.008,0.086,0.148,0.242
8,8,38,201.0,0.598,0.238,0.018,0.236,0.344,0.598,381.0,0.01,0.086,0.142,0.238
8,8,40,181.0,0.638,0.268,0.038,0.256,0.344,0.638,366.0,0.018,0.106,0.144,0.268
8,8,42,179.0,0.642,0.234,0.054,0.184,0.404,0.642,383.0,0.026,0.068,0.14,0.234
8,8,44,185.0,0.63,0.238,0.046,0.23,0.354,0.63,381.0,0.02,0.082,0.136,0.238
8,8,46,192.0,0.616,0.254,0.036,0.222,0.358,0.616,373.0,0.02,0.088,0.146,0.254
8,8,48,191.0,0.618,0.248,0.034,0.248,0.336,0.618,376.0,0.014,0.104,0.13,0.248
8,8,50,166.0,0.668,0.266,0.036,0.216,0.416,0.668,367.0,0.012,0.096,0.158,0.266
8,8,52,171.0,0.658,0.25,0.038,0.252,0.368,0.658,375.0,0.008,0.09,0.152,0.25
8,8,54,169.0,0.662,0.238,0.046,0.23,0.386,0.662,381.0,0.022,0.094,0.122,0.238
8,8,56,173.0,0.654,0.292,0.042,0.222,0.39,0.654,354.0,0.012,0.112,0.168,0.292
8,8,58,176.0,0.648,0.278,0.046,0.22,0.382,0.648,361.0,0.026,0.102,0.15,0.278
8,8,60,182.0,0.636,0.276,0.044,0.26,0.332,0.636,362.0,0.026,0.124,0.126,0.276
8,8,62,152.0,0.696,0.36,0.038,0.248,0.41,0.696,320.0,0.014,0.144,0.202,0.36
8,8,64,162.0,0.676,0.302,0.036,0.244,0.396,0.676,349.0,0.024,0.114,0.164,0.302
8,8,66,174.0,0.652,0.294,0.036,0.212,0.404,0.652,353.0,0.016,0.112,0.166,0.294
8,8,68,155.0,0.69,0.322,0.054,0.274,0.362,0.69,339.0,0.022,0.134,0.166,0.322
8,8,70,153.0,0.694,0.328,0.04,0.276,0.378,0.694,336.0,0.018,0.126,0.184,0.328
8,8,72,157.0,0.686,0.356,0.04,0.264,0.382,0.686,322.0,0.036,0.12,0.2,0.356
8,8,74,150.0,0.7,0.302,0.04,0.254,0.406,0.7,349.0,0.02,0.118,0.164,0.302
8,8,76,159.0,0.682,0.346,0.06,0.23,0.392,0.682,327.0,0.038,0.104,0.204,0.346
8,8,78,170.0,0.66,0.324,0.04,0.26,0.36,0.66,338.0,0.024,0.124,0.176,0.324
8,8,80,157.0,0.686,0.326,0.054,0.266,0.366,0.686,337.0,0.026,0.148,0.152,0.326
8,8,82,151.0,0.698,0.338,0.052,0.292,0.354,0.698,331.0,0.038,0.144,0.156,0.338
8,8,84,154.0,0.692,0.314,0.07,0.234,0.388,0.692,343.0,0.042,0.108,0.164,0.314
8,8,86,155.0,0.69,0.316,0.04,0.27,0.38,0.69,342.0,0.034,0.108,0.174,0.316
8,8,88,154.0,0.692,0.322,0.058,0.264,0.37,0.692,339.0,0.034,0.132,0.156,0.322
8,8,90,139.0,0.722,0.366,0.078,0.258,0.386,0.722,317.0,0.052,0.154,0.16,0.366
8,8,92,144.0,0.712,0.35,0.056,0.28,0.376,0.712,325.0,0.044,0.144,0.162,0.35
8,8,94,131.0,0.738,0.388,0.066,0.296,0.376,0.738,306.0,0.048,0.168,0.172,0.388
8,8,96,142.0,0.716,0.356,0.08,0.3,0.336,0.716,322.0,0.046,0.162,0.148,0.356
8,8,98,137.0,0.726,0.38,0.062,0.3,0.364,0.726,310.0,0.054,0.166,0.16,0.38
8,8,100,134.0,0.732,0.384,0.084,0.272,0.376,0.732,308.0,0.048,0.152,0.184,0.384
8,8,102,147.0,0.706,0.368,0.078,0.274,0.354,0.706,316.0,0.046,0.152,0.17,0.368
8,8,104,141.0,0.718,0.404,0.076,0.3,0.342,0.718,298.0,0.048,0.208,0.148,0.404
8,8,106,145.0,0.71,0.368,0.092,0.262,0.356,0.71,316.0,0.052,0.14,0.176,0.368
8,8,108,151.0,0.698,0.372,0.08,0.294,0.324,0.698,314.0,0.058,0.158,0.156,0.372
8,8,110,133.0,0.734,0.402,0.058,0.3,0.376,0.734,299.0,0.034,0.172,0.196,0.402
