VALUES,ACTIONS,ARGUMENTS,DIALOGUE SUCCESS,CONSENSUS SUCCESS,DS0,DS1,DS2,DS3,DSCORE,CS0,CS1,CS2,CS3,CSCORE
2,10,36,63.0,0.874,0.482,0.042,0.208,0.624,0.874,259.0,0.022,0.13,0.33,0.482
2,10,38,65.0,0.87,0.444,0.048,0.204,0.618,0.87,278.0,0.04,0.126,0.278,0.444
2,10,40,82.0,0.836,0.466,0.038,0.216,0.582,0.836,267.0,0.042,0.13,0.294,0.466
4,2,2,216.0,0.568,0.116,0.0,0.066,0.502,0.568,442.0,0.0,0.0,0.116,0.116
4,2,4,212.0,0.576,0.2,0.016,0.142,0.418,0.576,400.0,0.002,0.032,0.166,0.2
4,2,6,238.0,0.524,0.208,0.024,0.14,0.36,0.524,396.0,0.008,0.046,0.154,0.208
4,2,8,260.0,0.48,0.222,0.03,0.166,0.284,0.48,389.0,0.018,0.056,0.148,0.222
4,2,10,267.0,0.466,0.248,0.032,0.156,0.278,0.466,376.0,0.016,0.076,0.156,0.248
4,2,12,295.0,0.41,0.212,0.024,0.156,0.23,0.41,394.0,0.014,0.08,0.118,0.212
4,2,14,301.0,0.398,0.23,0.066,0.14,0.192,0.398,385.0,0.048,0.074,0.108,0.23
4,2,16,316.0,0.368,0.196,0.046,0.132,0.19,0.368,402.0,0.038,0.076,0.082,0.196
4,4,2,177.0,0.646,0.068,0.0,0.068,0.578,0.646,466.0,0.0,0.0,0.068,0.068
4,4,4,145.0,0.71,0.12,0.01,0.156,0.544,0.71,440.0,0.0,0.014,0.106,0.12
4,4,6,165.0,0.67,0.158,0.014,0.202,0.454,0.67,421.0,0.002,0.032,0.124,0.158
4,4,8,149.0,0.702,0.236,0.016,0.256,0.43,0.702,382.0,0.006,0.076,0.154,0.236
4,4,10,159.0,0.682,0.222,0.032,0.224,0.426,0.682,389.0,0.004,0.064,0.154,0.222
4,4,12,159.0,0.682,0.254,0.03,0.226,0.426,0.682,373.0,0.016,0.082,0.156,0.254
4,4,14,168.0,0.664,0.252,0.034,0.2,0.43,0.664,374.0,0.016,0.092,0.144,0.252
4,4,16,165.0,0.67,0.26,0.044,0.254,0.372,0.67,370.0,0.016,0.072,0.172,0.26
4,4,18,191.0,0.618,0.232,0.036,0.246,0.336,0.618,384.0,0.014,0.088,0.13,0.232
4,4,20,191.0,0.618,0.286,0.044,0.188,0.386,0.618,357.0,0.024,0.084,0.178,0.286
4,4,22,179.0,0.642,0.294,0.028,0.206,0.408,0.642,353.0,0.006,0.106,0.182,0.294
4,4,24,201.0,0.598,0.292,0.038,0.202,0.358,0.598,354.0,0.026,0.094,0.172,0.292
4,4,26,202.0,0.596,0.292,0.046,0.242,0.308,0.596,354.0,0.016,0.128,0.148,0.292
4,4,28,207.0,0.586,0.308,0.066,0.216,0.304,0.586,346.0,0.044,0.122,0.142,0.308
4,4,30,224.0,0.552,0.26,0.072,0.188,0.292,0.552,370.0,0.038,0.094,0.128,0.26
4,4,32,215.0,0.57,0.262,0.052,0.246,0.272,0.57,369.0,0.034,0.126,0.102,0.262
4,6,2,172.0,0.656,0.054,0.0,0.058,0.598,0.656,473.0,0.0,0.0,0.054,0.054
4,6,4,121.0,0.758,0.104,0.008,0.172,0.578,0.758,448.0,0.0,0.012,0.092,0.104
4,6,6,135.0,0.73,0.136,0.016,0.214,0.5,0.73,432.0,0.002,0.03,0.104,0.136
4,6,8,130.0,0.74,0.164,0.024,0.254,0.462,0.74,418.0,0.002,0.036,0.126,0.164
4,6,10,132.0,0.736,0.204,0.038,0.278,0.42,0.736,398.0,0.006,0.058,0.14,0.204
4,6,12,147.0,0.706,0.202,0.026,0.254,0.426,0.706,399.0,0.008,0.066,0.128,0.202
4,6,14,148.0,0.704,0.228,0.016,0.258,0.43,0.704,386.0,0.008,0.082,0.138,0.228
4,6,16,138.0,0.724,0.242,0.03,0.278,0.416,0.724,379.0,0.006,0.078,0.158,0.242
4,6,18,146.0,0.708,0.272,0.024,0.23,0.454,0.708,364.0,0.008,0.08,0.184,0.272
4,6,20,155.0,0.69,0.246,0.032,0.246,0.412,0.69,377.0,0.024,0.074,0.148,0.246
4,6,22,150.0,0.7,0.276,0.032,0.242,0.426,0.7,362.0,0.008,0.088,0.18,0.276
4,6,24,144.0,0.712,0.266,0.018,0.254,0.44,0.712,367.0,0.01,0.068,0.188,0.266
4,6,26,143.0,0.714,0.31,0.046,0.226,0.442,0.714,345.0,0.024,0.092,0.194,0.31
4,6,28,162.0,0.676,0.272,0.028,0.212,0.436,0.676,364.0,0.014,0.082,0.176,0.272
4,6,30,161.0,0.678,0.31,0.04,0.234,0.404,0.678,345.0,0.018,0.116,0.176,0.31
4,6,32,160.0,0.68,0.298,0.042,0.224,0.414,0.68,351.0,0.02,0.114,0.164,0.298
4,6,34,172.0,0.656,0.3,0.048,0.208,0.4,0.656,350.0,0.028,0.108,0.164,0.3
4,6,36,150.0,0.7,0.326,0.056,0.238,0.406,0.7,337.0,0.032,0.11,0.184,0.326
4,6,38,146.0,0.708,0.354,0.034,0.28,0.394,0.708,323.0,0.016,0.138,0.2,0.354
4,6,40,160.0,0.68,0.352,0.056,0.254,0.37,0.68,324.0,0.04,0.136,0.176,0.352
4,6,42,165.0,0.67,0.324,0.066,0.236,0.368,0.67,338.0,0.048,0.116,0.16,0.324
4,6,44,178.0,0.644,0.31,0.062,0.242,0.34,0.644,345.0,0.038,0.134,0.138,0.31
4,6,46,163.0,0.674,0.346,0.058,0.236,0.38,0.674,327.0,0.046,0.136,0.164,0.346
4,6,48,169.0,0.662,0.31,0.074,0.25,0.338,0.662,345.0,0.034,0.122,0.154,0.31
4,8,2,158.0,0.684,0.024,0.0,0.05,0.634,0.684,488.0,0.0,0.0,0.024,0.024
4,8,4,125.0,0.75,0.054,0.008,0.164,0.578,0.75,473.0,0.0,0.006,0.048,0.054
