"ROUND","AGENTS","AGENTS AGRUMENTS","AGENTS AUDIENCES","MOVE"
"0","Agent1","","","","<1,OPEN,topic>"
"0","Agent0","[<ACTION6,topic,NEGATIVE,AUDIENCE5>, <ACTION3,topic,NEGATIVE,AUDIENCE4>, <ACTION10,topic,NEGATIVE,AUDIENCE3>, <ACTION7,topic,NEGATIVE,AUDIENCE3>, <ACTION2,topic,NEGATIVE,AUDIENCE2>, <ACTION3,topic,POSITIVE,AUDIENCE5>, <ACTION8,topic,POSITIVE,AUDIENCE4>, <ACTION1,topic,NEGATIVE,AUDIENCE3>, <ACTION10,topic,POSITIVE,AUDIENCE4>, <ACTION9,topic,NEGATIVE,AUDIENCE6>, <ACTION8,topic,POSITIVE,AUDIENCE6>, <ACTION4,topic,POSITIVE,AUDIENCE4>, <ACTION4,topic,POSITIVE,AUDIENCE6>, <ACTION2,topic,NEGATIVE,AUDIENCE1>, <ACTION8,topic,NEGATIVE,AUDIENCE1>, <ACTION10,topic,NEGATIVE,AUDIENCE2>, <ACTION1,topic,POSITIVE,AUDIENCE2>, <ACTION7,topic,NEGATIVE,AUDIENCE3>, <ACTION2,topic,NEGATIVE,AUDIENCE6>, <ACTION7,topic,NEGATIVE,AUDIENCE2>, <ACTION3,topic,NEGATIVE,AUDIENCE3>, <ACTION10,topic,NEGATIVE,AUDIENCE2>, <ACTION5,topic,NEGATIVE,AUDIENCE4>, <ACTION7,topic,POSITIVE,AUDIENCE5>, <ACTION1,topic,NEGATIVE,AUDIENCE3>, <ACTION5,topic,POSITIVE,AUDIENCE1>, <ACTION8,topic,POSITIVE,AUDIENCE5>, <ACTION4,topic,POSITIVE,AUDIENCE3>, <ACTION2,topic,POSITIVE,AUDIENCE1>, <ACTION7,topic,POSITIVE,AUDIENCE6>]","{AUDIENCE2=48, AUDIENCE3=39, AUDIENCE1=1, AUDIENCE6=50, AUDIENCE4=2, AUDIENCE5=7}","<0,ASSERT,<ACTION8,topic,POSITIVE,AUDIENCE6>>"
"1","Agent1","[<ACTION7,topic,NEGATIVE,AUDIENCE3>, <ACTION7,topic,POSITIVE,AUDIENCE4>, <ACTION4,topic,NEGATIVE,AUDIENCE5>, <ACTION7,topic,NEGATIVE,AUDIENCE3>, <ACTION2,topic,POSITIVE,AUDIENCE4>, <ACTION2,topic,NEGATIVE,AUDIENCE3>, <ACTION9,topic,NEGATIVE,AUDIENCE2>, <ACTION4,topic,POSITIVE,AUDIENCE2>, <ACTION2,topic,POSITIVE,AUDIENCE6>, <ACTION1,topic,POSITIVE,AUDIENCE5>, <ACTION10,topic,POSITIVE,AUDIENCE5>, <ACTION6,topic,NEGATIVE,AUDIENCE6>, <ACTION10,topic,POSITIVE,AUDIENCE4>, <ACTION6,topic,POSITIVE,AUDIENCE6>, <ACTION4,topic,POSITIVE,AUDIENCE6>, <ACTION2,topic,POSITIVE,AUDIENCE1>, <ACTION2,topic,NEGATIVE,AUDIENCE3>, <ACTION6,topic,NEGATIVE,AUDIENCE3>, <ACTION10,topic,POSITIVE,AUDIENCE6>, <ACTION5,topic,POSITIVE,AUDIENCE1>, <ACTION2,topic,POSITIVE,AUDIENCE2>, <ACTION10,topic,POSITIVE,AUDIENCE5>, <ACTION7,topic,NEGATIVE,AUDIENCE3>, <ACTION8,topic,NEGATIVE,AUDIENCE4>, <ACTION1,topic,NEGATIVE,AUDIENCE2>, <ACTION8,topic,NEGATIVE,AUDIENCE4>, <ACTION8,topic,NEGATIVE,AUDIENCE3>, <ACTION10,topic,POSITIVE,AUDIENCE4>, <ACTION7,topic,NEGATIVE,AUDIENCE6>, <ACTION4,topic,NEGATIVE,AUDIENCE5>, <ACTION8,topic,POSITIVE,AUDIENCE6>]","{AUDIENCE2=29, AUDIENCE3=8, AUDIENCE1=40, AUDIENCE6=37, AUDIENCE4=42, AUDIENCE5=12}","<1,ASSERT,<ACTION10,topic,POSITIVE,AUDIENCE4>>"
"2","Agent0","[<ACTION6,topic,NEGATIVE,AUDIENCE5>, <ACTION3,topic,NEGATIVE,AUDIENCE4>, <ACTION10,topic,NEGATIVE,AUDIENCE3>, <ACTION7,topic,NEGATIVE,AUDIENCE3>, <ACTION2,topic,NEGATIVE,AUDIENCE2>, <ACTION3,topic,POSITIVE,AUDIENCE5>, <ACTION8,topic,POSITIVE,AUDIENCE4>, <ACTION1,topic,NEGATIVE,AUDIENCE3>, <ACTION10,topic,POSITIVE,AUDIENCE4>, <ACTION9,topic,NEGATIVE,AUDIENCE6>, <ACTION8,topic,POSITIVE,AUDIENCE6>, <ACTION4,topic,POSITIVE,AUDIENCE4>, <ACTION4,topic,POSITIVE,AUDIENCE6>, <ACTION2,topic,NEGATIVE,AUDIENCE1>, <ACTION8,topic,NEGATIVE,AUDIENCE1>, <ACTION10,topic,NEGATIVE,AUDIENCE2>, <ACTION1,topic,POSITIVE,AUDIENCE2>, <ACTION7,topic,NEGATIVE,AUDIENCE3>, <ACTION2,topic,NEGATIVE,AUDIENCE6>, <ACTION7,topic,NEGATIVE,AUDIENCE2>, <ACTION3,topic,NEGATIVE,AUDIENCE3>, <ACTION10,topic,NEGATIVE,AUDIENCE2>, <ACTION5,topic,NEGATIVE,AUDIENCE4>, <ACTION7,topic,POSITIVE,AUDIENCE5>, <ACTION1,topic,NEGATIVE,AUDIENCE3>, <ACTION5,topic,POSITIVE,AUDIENCE1>, <ACTION8,topic,POSITIVE,AUDIENCE5>, <ACTION4,topic,POSITIVE,AUDIENCE3>, <ACTION2,topic,POSITIVE,AUDIENCE1>, <ACTION7,topic,POSITIVE,AUDIENCE6>, <ACTION10,topic,POSITIVE,AUDIENCE4>]","{AUDIENCE2=48, AUDIENCE3=39, AUDIENCE1=1, AUDIENCE6=50, AUDIENCE4=2, AUDIENCE5=7}","<0,ASSERT,<ACTION7,topic,POSITIVE,AUDIENCE6>>"
"3","Agent1","[<ACTION7,topic,NEGATIVE,AUDIENCE3>, <ACTION7,topic,POSITIVE,AUDIENCE4>, <ACTION4,topic,NEGATIVE,AUDIENCE5>, <ACTION7,topic,NEGATIVE,AUDIENCE3>, <ACTION2,topic,POSITIVE,AUDIENCE4>, <ACTION2,topic,NEGATIVE,AUDIENCE3>, <ACTION9,topic,NEGATIVE,AUDIENCE2>, <ACTION4,topic,POSITIVE,AUDIENCE2>, <ACTION2,topic,POSITIVE,AUDIENCE6>, <ACTION1,topic,POSITIVE,AUDIENCE5>, <ACTION10,topic,POSITIVE,AUDIENCE5>, <ACTION6,topic,NEGATIVE,AUDIENCE6>, <ACTION10,topic,POSITIVE,AUDIENCE4>, <ACTION6,topic,POSITIVE,AUDIENCE6>, <ACTION4,topic,POSITIVE,AUDIENCE6>, <ACTION2,topic,POSITIVE,AUDIENCE1>, <ACTION2,topic,NEGATIVE,AUDIENCE3>, <ACTION6,topic,NEGATIVE,AUDIENCE3>, <ACTION10,topic,POSITIVE,AUDIENCE6>, <ACTION5,topic,POSITIVE,AUDIENCE1>, <ACTION2,topic,POSITIVE,AUDIENCE2>, <ACTION10,topic,POSITIVE,AUDIENCE5>, <ACTION7,topic,NEGATIVE,AUDIENCE3>, <ACTION8,topic,NEGATIVE,AUDIENCE4>, <ACTION1,topic,NEGATIVE,AUDIENCE2>, <ACTION8,topic,NEGATIVE,AUDIENCE4>, <ACTION8,topic,NEGATIVE,AUDIENCE3>, <ACTION10,topic,POSITIVE,AUDIENCE4>, <ACTION7,topic,NEGATIVE,AUDIENCE6>, <ACTION4,topic,NEGATIVE,AUDIENCE5>, <ACTION8,topic,POSITIVE,AUDIENCE6>, <ACTION7,topic,POSITIVE,AUDIENCE6>]","{AUDIENCE2=29, AUDIENCE3=8, AUDIENCE1=40, AUDIENCE6=37, AUDIENCE4=42, AUDIENCE5=12}","<1,AGREE,ACTION7>"
"4","Agent0","[<ACTION6,topic,NEGATIVE,AUDIENCE5>, <ACTION3,topic,NEGATIVE,AUDIENCE4>, <ACTION10,topic,NEGATIVE,AUDIENCE3>, <ACTION7,topic,NEGATIVE,AUDIENCE3>, <ACTION2,topic,NEGATIVE,AUDIENCE2>, <ACTION3,topic,POSITIVE,AUDIENCE5>, <ACTION8,topic,POSITIVE,AUDIENCE4>, <ACTION1,topic,NEGATIVE,AUDIENCE3>, <ACTION10,topic,POSITIVE,AUDIENCE4>, <ACTION9,topic,NEGATIVE,AUDIENCE6>, <ACTION8,topic,POSITIVE,AUDIENCE6>, <ACTION4,topic,POSITIVE,AUDIENCE4>, <ACTION4,topic,POSITIVE,AUDIENCE6>, <ACTION2,topic,NEGATIVE,AUDIENCE1>, <ACTION8,topic,NEGATIVE,AUDIENCE1>, <ACTION10,topic,NEGATIVE,AUDIENCE2>, <ACTION1,topic,POSITIVE,AUDIENCE2>, <ACTION7,topic,NEGATIVE,AUDIENCE3>, <ACTION2,topic,NEGATIVE,AUDIENCE6>, <ACTION7,topic,NEGATIVE,AUDIENCE2>, <ACTION3,topic,NEGATIVE,AUDIENCE3>, <ACTION10,topic,NEGATIVE,AUDIENCE2>, <ACTION5,topic,NEGATIVE,AUDIENCE4>, <ACTION7,topic,POSITIVE,AUDIENCE5>, <ACTION1,topic,NEGATIVE,AUDIENCE3>, <ACTION5,topic,POSITIVE,AUDIENCE1>, <ACTION8,topic,POSITIVE,AUDIENCE5>, <ACTION4,topic,POSITIVE,AUDIENCE3>, <ACTION2,topic,POSITIVE,AUDIENCE1>, <ACTION7,topic,POSITIVE,AUDIENCE6>, <ACTION10,topic,POSITIVE,AUDIENCE4>]","{AUDIENCE2=48, AUDIENCE3=39, AUDIENCE1=1, AUDIENCE6=50, AUDIENCE4=2, AUDIENCE5=7}","<0,AGREE,ACTION7>"
